nl_query,db
"Retrieve the most influential node in a social network (PageRank).
",graph
"Find all family members of a specific individual up to three generations.
",graph
"Determine if there is a cycle in a given subgraph.
",graph
"List all devices connected through a specific IoT hub.
",graph
"Find all software developers who have worked on the same project.
",graph
"Retrieve all people with shared educational background.
",graph
"List every node connected via a relationship of type ""follows"".
",graph
"Identify potential influencers for a brand in a social network.
",graph
"Find all proteins interacting with a specific protein in a biological network.
",graph
"List all articles citing a specific research paper.
",graph
"Get all policyholders connected through shared policies.
",graph
"Identify common skills between team members of a project.
",graph
"Find the total number of relationships a given entity has.
",graph
"Retrieve all nodes at a specific depth from a starting node.
",graph
"List all countries that share a border with a given country.
",graph
"Get all transactions originating from a specific account.
",graph
"Identify routes with less than three transfers between two bus stops.
",graph
"Find all computers infected by a certain type of malware.
",graph
"List employees who have worked under the same manager at any company.
",graph
"Retrieve all courses taken by students with a specific major.
",graph
"Identify all actors who have won an award in their lifetime.
",graph
"List all users in a social network who like the same page.
",graph
"Get all genes related to a specific illness.
",graph
"Find the diameter of a social network.
",graph
"Retrieve all nodes with more than five outgoing edges.
",graph
"List all previous owners of a given car.
",graph
"Identify all organizational units within a company’s hierarchy.
",graph
"Get all messages that are part of a specific conversation thread.
",graph
"Find all ancestors of an individual up to a specified generation.
",graph
"List all publications by authors within the same research institution.
",graph
"Identify all existing connections based on a specific pattern.
",graph
"Get the most common path traversed in a logistics network.
",graph
"List all similar products bought together by customers.
",graph
"Retrieve all transactions having a specific amount.
",graph
"Get the relationship chain between two companies.
",graph
"Identify all company branches located in a certain region.
",graph
"List all influencers who have mentioned a particular product.
",graph
"Find all artists who have collaborated on a song with a specific musician.
",graph
"Get all events happened in a certain location.
",graph
"Discover all mentees of a given mentor within an organization.
",graph
"Find communities with dense intra-connectivity.
",graph
"List all skill clusters within an organization.
",graph
"Get all patents cited in a specific technology field.
",graph
"Identify the social circle of a given user.
",graph
"Retrieve all technical support cases for a defective product.
",graph
"List all cars involved in more than two traffic incidents.
",graph
"Get all movies produced in a specific country.
",graph
"Identify common training programs attended by employees.
",graph
"List all articles sharing the same keywords.
",graph
"Find all business partners of a specific corporation.
",graph
"Get the complete food chain starting from a specific species.
",graph
"Identify airline routes crossing more than three states.
",graph
"List all books featuring a specific character.
",graph
"Discover all dependencies of a software library.
",graph
"Find all nodes that form a specific cycle.
",graph
"Get the impact factor of authors based on citations.
",graph
"List administrative hierarchies within governmental organizations.
",graph
"Identify all phone numbers called by a specific contact.
",graph
"Retrieve all events organized by a specific coordinator.
",graph
"List all club members who participated in a specific event.
",graph
"Find all pathways connecting two chemicals.
",graph
"Get all shipments linked to a specific order.
",graph
"Identify all emails exchanged between two people.
",graph
"Retrieve nodes representing countries with a trade agreement.
",graph
"List all components of a complex product.
",graph
"Discover group chats with more than ten participants.
",graph
"Find all sequences of tasks in a project dependency graph.
",graph
"Retrieve all neighbor nodes within three hops in a network graph.
",graph
"List all shared projects between two colleagues.
",graph
"Get all people attending the same conferences.
",graph
"Identify power-grid nodes that are critically linked.
",graph
"List all websites traversed consecutively by a user.
",graph
"Find all intersections between two road networks.
",graph
"Retrieve all news articles related to a specific subject.
",graph
"List all employees with more than three direct reports.
",graph
"Get all paths in a transportation network without cycles.
",graph
"Identify universal donors in a blood donation network.
",graph
"Find potential connections for job opportunities within a network.
",graph
"Retrieve nodes involved in a supply chain disruption.
",graph
"List all cellular connections of a specific device in a network.
",graph
"Identify the most connected individual in a friendship network.
",graph
"Discover common paths of wildlife migration.
",graph
"Get all places visited by a specific tourist.
",graph
"List all public figures associated with a cause.
",graph
"Find all nodes forming a star topology in a network.
",graph
"Retrieve all account managers handling multiple accounts.
",graph
"Identify stations linked by a specific railway line.
",graph
"List all registered products under a single patent.
",graph
"Find all entities within a specified cluster.
",graph
"Get the latest collaborations in a music industry graph.
",graph
"Identify conflict areas in a geopolitical network.
",graph
"List all participants in a decision-making process.
",graph
"Retrieve all processes involved in a manufacturing operation.
",graph
"Find all related cases in legal case networks.
",graph
"Discover common methodologies between academic papers.
",graph
"Identify optimal dissemination paths for information in a network.
",graph
"List all alliances within a corporate network.
",graph
"What are the shortest paths between Alice and Bob?
",graph
"Find all friends of John who live in New York.
",graph
"List the movies directed by Christopher Nolan.
",graph
"Who are the mutual friends of Sarah and David?
",graph
"Count the number of employees in the sales department.
",graph
"Which books are authored by J.K. Rowling?
",graph
"Who are the direct reports of the manager Jane Smith?
",graph
"Find all nodes connected to node ID 42.
",graph
"What are the skills of employees in the engineering department?
",graph
"List all companies that have partnerships with Tech Corp.
",graph
"Identify projects that are active in the last quarter.
",graph
"Who follows both user A and user B on social media?
",graph
"Fetch all transactions between customer 123 and vendor 456.
",graph
"What courses has Professor Brown taught since 2015?
",graph
"Who are the top 5 most connected people in the network?
",graph
"List all artists whose albums were released in 2020.
",graph
"Find the dependencies of software module X.
",graph
"Which restaurants are visited by people who live in Chicago?
",graph
"What are the common interests of user groups A and B?
",graph
"Retrieve all publications co-authored by John Doe.
",graph
"What events are linked to both team A and team B?
",graph
"Find nodes with the highest centrality values.
",graph
"List all flights departing from JFK airport today.
",graph
"Who are the influencers in the marketing community?
",graph
"What are the genres of songs in the playlist ""Chill Vibes""?
",graph
"Identify people who have changed jobs twice in the past year.
",graph
"List all tags associated with user-generated content.
",graph
"Which doctors are associated with hospital XYZ?
",graph
"Find all teams participating in the 2023 championship.
",graph
"What are the root causes of issues reported in product Z?
",graph
"Retrieve comments made on post ID 789.
",graph
"Who attended the annual conference in 2021?
",graph
"Load all articles shared by connections of user ID 578.
",graph
"What are the direct relationships from node A to node B?
",graph
"List the top trending topics this month.
",graph
"Find all mentors assigned to employee ID 321.
",graph
"Who liked the last three posts published by author X?
",graph
"Retrieve network connections formed within the last week.
",graph
"What topics are associated with technology and finance?
",graph
"Identify which servers are affected by a given bug.
",graph
"List all sponsors of the charity event last Saturday.
",graph
"Find all common collaborators of researcher A and B.
",graph
"What are the roles involved in the project Alpha?
",graph
"Fetch entities with missing required attributes.
",graph
"Who are the recommended connections for user C?
",graph
"List courses with prerequisites in computer science.
",graph
"Find events categorized as music festivals.
",graph
"Identify influencers with over 10,000 followers.
",graph
"Retrieve all products linked to category ""Electronics"".
",graph
"Who were the keynote speakers at the 2023 summit?
",graph
"What are the primary connections for node category ""Person""?
",graph
"Which universities collaborate with industry leaders?
",graph
"Find paths between cities A and B with max 3 stops.
",graph
"List all tenants renting properties in district 5.
",graph
"What are the correlations between products A and B?
",graph
"Retrieve sessions related to cybersecurity in the workshop.
",graph
"Who are the authors of articles in the journal ""Science""?
",graph
"What is the shortest path to reach node ID 99?
",graph
"Fetch all comments on issues without a resolution.
",graph
"Who bought both product X and product Y?
",graph
"List all satellite offices of the company headquarter.
",graph
"Find services that support API version 2.0.
",graph
"What are the immediate dependencies for task ID 456?
",graph
"Identify teams that exceeded quarterly targets.
",graph
"Retrieve influencer networks involving sports personalities.
",graph
"Who are the users with the highest likes on their posts?
",graph
"List all connections between elements in the transport layer.
",graph
"Find workshops that focus on data science.
",graph
"What are the upcoming competitions in college sports?
",graph
"Retrieve reviews for the most recent product release.
",graph
"Who shares both hobby X and hobby Y in their profiles?
",graph
"List all awards won by artist ID 789.
",graph
"Fetch details of all connections between entities A and B.
",graph
"Identify research papers published in climate science.
",graph
"Retrieve all association rules between items in cart ID 34.
",graph
"What webinars have received the highest feedback ratings?
",graph
"Find nodes reachable from node type ""Server"".
",graph
"List all certifications of employees in department Y.
",graph
"Who are the clients of consultant ID 678?
",graph
"Fetch comments on blogs tagged with ""Innovation"".
",graph
"What are the roles and responsibilities of the HR team?
",graph
"Identify all hierarchical levels between manager and staff.
",graph
"Retrieve posts by influencers that went viral.
",graph
"Who are the alumni currently mentoring students?
",graph
"List all communities focused on sustainable development.
",graph
"What are the shared assets between business entities X and Y?
",graph
"Find the nodes representing major market trends.
",graph
"Retrieve all feedback on services provided in 2022.
",graph
"List collaborations ongoing between division A and B.
",graph
"Identify bottlenecks in the production pipeline.
",graph
"Who are the top contributors to open-source project Z?
",graph
"Fetch all discussions related to the policy update 2023.
",graph
"What are the capabilities required for role ID 345?
",graph
"Find competitors of brand X in the financial sector.
",graph
"List all documented procedures in the quality assurance unit.
",graph
"Retrieve dependencies of microservice Y.
",graph
"Identify potential partnerships in region North America.
",graph
"Who attended all sessions in the last training program?
",graph
"What are the highlights of interactions during conference ID 57?
",graph
"Find promotions running this quarter in retail X.
",graph
"List points of interest within 5 miles of coordinate (x, y).
",graph
"Retrieve user feedback under category ""Usability"".
",graph
"What are the popular routes for the transport company?
",graph
"Identify risks associated with investment in project Gamma.
",graph
"Who are the team leads in the project completing in 2023?
",graph
"List product recommendations for user persona Z.
",graph
"Find all expert panels moderated by person ID 999.
",graph
"Retrieve structured data components held by server ID 10.
",graph
"What books are recommended based on reading history?
",graph
"Who are the mutual friends between Alice and Bob?
",graph
"What movies did both Alice and Bob like?
",graph
"Find the shortest path between New York and Los Angeles.
",graph
"List all direct connections of the node representing ""Python Programming.""
",graph
"Which authors have collaborated on papers with John Doe?
",graph
"What are the recommended books for someone who liked ""To Kill a Mockingbird""?
",graph
"Find all employees in the Sales department reporting directly or indirectly to Jane Doe.
",graph
"List all products purchased together with ""Laptop.""
",graph
"What common skills do employees in the Marketing department possess?
",graph
"Find friends of friends of Alice who live in London.
",graph
"What is the hierarchy path from the CEO to Intern Joe?
",graph
"List all organizations that have partnerships with Company X.
",graph
"Which students are enrolled in both Mathematics and Physics courses?
",graph
"Identify all people who worked at both IBM and Microsoft.
",graph
"Find all research papers cited by Article X published in 2020.
",graph
"What are the top 10 music tracks liked by users similar to Alice?
",graph
"List all blog posts linked under the topic ""Machine Learning.""
",graph
"Which people follow both TechCrunch and Wired on Twitter?
",graph
"Find all cities connected by direct flights from Paris.
",graph
"What customers bought item X after visiting category Y?
",graph
"Find all the ancestors of Monarch 12345.
",graph
"Who are the top influencers in the blockchain discussion forum?
",graph
"Which employees have changed departments more than twice?
",graph
"List all conferences attended by Alice in 2022.
",graph
"Find all nodes in a cycle involving the ""Economics"" node.
",graph
"What products are most frequently purchased by Alice?
",graph
"Identify people who have the same three areas of expertise as Bob.
",graph
"Find all users who posted using the hashtag ""#HealthyLiving.""
",graph
"What are the direct reports of the manager in Department Z?
",graph
"List all courses that are prerequisites for ""Advanced Calculus.""
",graph
"Find nodes that represent both a person and an author.
",graph
"What are the members of the group ""Chess Club""?
",graph
"List all friends of Bob who work at a tech company.
",graph
"Find all connections that have been active since 2021.
",graph
"What paths exist between me and the company I want to work for?
",graph
"Which products have a higher rating than 4.5 and share the same category as ""Smartphone""?
",graph
"List all technologies involved in Project Y.
",graph
"How many unique paths exist between Node A and Node B?
",graph
"Identify all paths where Alice can meet Bob during a multi-stop flight.
",graph
"What routes involve exactly three stops from City A to City B?
",graph
"Find all influencers in the travel industry with more than 10k followers.
",graph
"What conferences have been co-hosted by Institutions X and Y?
",graph
"List the most common connections between Product A and B.
",graph
"Identify all employees who joined the company before 2015 and are still active.
",graph
"What are the common interests between User X and User Y?
",graph
"Which papers cite Author B's work from 2020 onward?
",graph
"List all hashtags used by @username in the last month.
",graph
"What nodes are two steps away from Node X?
",graph
"Identify the most cited author in the network of academic papers.
",graph
"Which devices are compatible with Product X?
",graph
"Find all professors who teach in both Undergraduate and Graduate programs.
",graph
"What are the most common paths users take on the website?
",graph
"List the sections within a book following the ""Introduction"" section.
",graph
"Who are the oldest followers of @company on Twitter?
",graph
"Which startups have been invested in by both Investor A and Investor B?
",graph
"Find nodes that share more than three attributes with Node Y.
",graph
"What are the direct consequences of implementing Policy X?
",graph
"List all parts used in Model Z.
",graph
"Identify all pages linked to the ""Climate Change"" page.
",graph
"Find coworkers who hold the same title in different departments.
",graph
"What are the tasks assigned to Alice within Project Omega?
",graph
"List all services related to ""Cloud Computing.""
",graph
"Identify the direct or indirect influencers on Topic X within the network.
",graph
"What are the shortest paths connecting Topic A with Topic B?
",graph
"Find artists who have released collaborations with more than five different musicians.
",graph
"List all co-working spaces located in San Francisco.
",graph
"What strategies share nodes with multiple business development strategies?
",graph
"Find all connections between two specific locations within three degrees.
",graph
"What transactions took place on March 15 with nodes related to Banking?
",graph
"List all team members involved in Cross-Functional Team X.
",graph
"What movies have won both Oscar Awards and Golden Globe Awards?
",graph
"Identify all clients who have been active for more than ten years.
",graph
"Find all recipes that use at least three of the same ingredients as Recipe X.
",graph
"List all books authored or co-authored by Author X.
",graph
"What entities are associated with more than two financial advisors?
",graph
"Identify all tasks dependent on Task A across various projects.
",graph
"Which employees have worked under Manager A and Manager B?
",graph
"What travel routes are available for a budget traveler between City A and City B?
",graph
"Find courses offered in both Fall and Spring semesters.
",graph
"List all nodes directly influenced by Node Z.
",graph
"What are the common keywords among these three documents?
",graph
"Identify all fashion items tagged with ""Summer Collection.""
",graph
"What companies have collaborated on more than three projects together?
",graph
"Find the most referenced regulations within Company X.
",graph
"List all pathways for product development starting from innovation.
",graph
"Which patients underwent procedures related to Cardiology?
",graph
"Find the most influential papers in the last decade of the Biology Network.
",graph
"What events have occurred more than once in Location Y?
",graph
"List all known variants of the species classified under Genus X.
",graph
"What social circles does Bob belong to in the network?
",graph
"Find connections between databases used at both Company X and Company Y.
",graph
"Identify the historical trade routes connecting City A to City B.
",graph
"What’s the direct relationship path between Actor X and Director Y?
",graph
"List all categories under which Product Z is listed.
",graph
"Find all artworks that were part of exhibitions at Museum X.
",graph
"Find all people connected to John within two degrees of separation.
",graph
"What are the shortest paths from Alice to Bob?
",graph
"Who are the mutual friends between Charlie and Dave?
",graph
"List all the products purchased by customers who also bought ""Product X"".
",graph
"Identify all the authors who have co-authored a paper with Dr. Smith.
",graph
"Which employees report directly or indirectly to Manager Y?
",graph
"Find all the cities directly connected to Paris by direct flights.
",graph
"What is the most common job title among Susan's first-degree connections?
",graph
"Retrieve the top influencers in this social network.
",graph
"What are the common interests between members of Group A and Group B?
",graph
"Find customers who have purchased items frequently bought together.
",graph
"Identify all companies in which Investor Z has investments.
",graph
"List all possible paths from Source A to Destination B.
",graph
"Who are the key opinion leaders in this discussion forum?
",graph
"What films have actor Y starred in with actor Z?
",graph
"Find all papers that cite ""Important Paper X"".
",graph
"Which nodes have the highest degree centrality in the network?
",graph
"Who are the alumni of University X that work at Company Y?
",graph
"Discover all the components of the graph that are strongly connected.
",graph
"List the top five communities detected within this network.
",graph
"What are the shortest paths for package delivery between City A and City B?
",graph
"Identify potential frauds by analyzing unusual transaction patterns.
",graph
"Retrieve all nodes reachable from Node A within three hops.
",graph
"Which products form a dependency chain leading to ""Product X""?
",graph
"Find all people in the company who have worked under both Supervisor A and B.
",graph
"Which websites are frequently visited by the same users who log into Site X?
",graph
"What are the hierarchical levels between Employee X and the CEO?
",graph
"Detect possible loops in this supply chain network.
",graph
"Find all buildings connected to the main power grid.
",graph
"List all family members related to Individual Y up to three generations back.
",graph
"How many clusters are there in the customer purchase graph?
",graph
"Which paths have the least resistance in this electrical grid?
",graph
"Retrieve all security vulnerabilities reported in software ""Product X"".
",graph
"Which facilities are directly supplied by Factory Y?
",graph
"Identify all nodes affected if Node A fails in this network.
",graph
"What are the typical migration patterns observed in the species?
",graph
"List the key decision-makers in this organizational chart.
",graph
"Find all related legal cases for Case X.
",graph
"Who in the network has the strongest connection to the marketing department?
",graph
"Retrieve all projects Employee Y has collaborated on across teams.
",graph
"Discover all common ancestors of Person A and Person B.
",graph
"What alternative routes exist between two traffic points?
",graph
"Find influencers who have connections in at least three distinct communities.
",graph
"Identify all known aliases of Criminal X in the network.
",graph
"Which transactions in this network exceed $1 million?
",graph
"List all individuals who attended both Conference A and B.
",graph
"Discover which areas in the city are underserved by public transport.
",graph
"Find all artists involved in both Art Movement A and B.
",graph
"How many redundant connections exist in this telecom network?
",graph
"Retrieve all dependencies for library ""Library X"".
",graph
"What other sports are played by athletes competing in ""Sport X""?
",graph
"Identify companies with shared board members.
",graph
"List all nodes in the graph with a degree higher than ten.
",graph
"Discover all potential routes for data packets in the network.
",graph
"What are the key campaigns influencing public opinion in this year?
",graph
"Find all mentors connected to Student X across the program.
",graph
"List all online communities Person Y is a member of.
",graph
"Identify all government officials with ties to Organization X.
",graph
"Retrieve all user's travel histories that include ""City Y"".
",graph
"Find all seminars attended by employees from Department X.
",graph
"Who are the repeat customers for Product Y?
",graph
"Discover all events linked to Participant Z.
",graph
"Retrieve all safety incidents reported in Plant A.
",graph
"List all satellite connections originating from Ground Station X.
",graph
"Identify all software that interoperate with System Y.
",graph
"Find the main hubs in this transportation network.
",graph
"List all team members in projects led by Leader X.
",graph
"Retrieve all the routes in this railway network.
",graph
"Which natural resources are shared between Region A and Region B?
",graph
"Discover the shortest path to reach Customer X.
",graph
"Who are the key suppliers for components in Product Y?
",graph
"List all scientists who contributed to Research Project X.
",graph
"What are the overlap points in distribution channels A and B?
",graph
"Retrieve all events Person Y RSVP'd 'Yes' to but didn't attend.
",graph
"Identify all shareholders with stakes in both Company A and B.
",graph
"Discover all past and present associations with Club X.
",graph
"Find all houses connected to the main water supply system.
",graph
"What nodes have direct connections to both Node A and B?
",graph
"Retrieve all the countries trading with Country X.
",graph
"List all tasks Employee Y manages across different projects.
",graph
"Identify all user interactions with the support team.
",graph
"Which countries are directly influenced by policies from Organization X?
",graph
"Find common pathways used by hackers in system breaches.
",graph
"Retrieve all customer complaints related to Feature Y.
",graph
"Which team members have collaborated at least three times on projects?
",graph
"Discover universities with the highest number of published authors in Field X.
",graph
"List all neighboring nodes to Node Z within one degree.
",graph
"Identify critical junctions in this network infrastructure.
",graph
"Retrieve all connections between Member A and B in this club.
",graph
"Find all places Person X has lived in the past decade.
",graph
"What are the overlap periods for employees with dual department roles?
",graph
"Who are the primary influencers on Topic X in social media platforms?
",graph
"Retrieve the history of ownership for Property Y.
",graph
"List all the dependencies required for System X updates.
",graph
"Identify all pathways disrupted by the removal of Node Z.
",graph
"Which politicians have overlapping interests in Policy Y?
",graph
"Find all data nodes affected by a recent security breach.
",graph
"Who has shared publications with Author Y?
",graph
"List all available backups for Data Node X.
",graph
"What other projects interact with Project A based on shared resources?
",graph
"Find the hierarchy of positions within Department X.
",graph
"Identify all cross-functional team collaborations in the company.
",graph
"Retrieve interactions between Users A, B, and C during Event X.
",graph
"Which researchers have patents co-authored with Inventor Y?
",graph
"Discover common themes across different forums discussing Technology X.
",graph
"List all authors who simultaneously belong to multiple study groups.
",graph
"Find all the junctions in this road network susceptible to bottlenecks.
",graph
"Retrieve all the related catalogs for ""Catalog Series Y"".
",graph
"Identify hidden influencers within subcategories of this social network.
",graph
"What are the most traversed pathways during peak hour in the city?
",graph
"List all services provided by Supplier X to Client Y.
",graph
"What common points do rival companies share within their supply chains?
",graph
"Find all real estate properties linked to Agency Z.
",graph
"Which employees are involved in at least two training programs?
",graph
"Retrieve all legal entities Person X has a controlling interest in.
",graph
"Who are the direct friends of user X?
",graph
"Find all employees working under manager Y.
",graph
"List all cities connected by flights from city Z.
",graph
"Retrieve all articles related to topic A.
",graph
"Identify shared interests between users U and V.
",graph
"Show all immediate followers of influencer B.
",graph
"Find the shortest path between nodes P and Q.
",graph
"Get all books authored by writer C.
",graph
"Who has the most connections in the network?
",graph
"Discover all co-authors of researcher R.
",graph
"List all movies starred by actor D.
",graph
"Identify all family members of person E.
",graph
"Retrieve all courses that student F is enrolled in.
",graph
"Find mutual connections between X and Y.
",graph
"Show all software dependencies for package G.
",graph
"Get all friends of friends for user H.
",graph
"Identify the longest supply chain in the network.
",graph
"List all companies partnered with business I.
",graph
"Who has attended both conference J and K?
",graph
"Discover all teams player L has played for.
",graph
"Find all direct reports to executive M.
",graph
"Retrieve events hosted in venue N.
",graph
"Identify all departments within organization O.
",graph
"Show all collaborations between musician P and Q.
",graph
"List all suppliers for product R.
",graph
"Find the nearest hospital to location S.
",graph
"Retrieve all podcasts featuring speaker T.
",graph
"Who are the top contributors in community U?
",graph
"Identify all routes that include station V.
",graph
"List all ingredients in recipe W.
",graph
"Show all members of committee X.
",graph
"Find the largest community in the network.
",graph
"Retrieve all projects initiated by team Y.
",graph
"Identify all authors in the field of Z.
",graph
"Discover all historical events linked to location A1.
",graph
"List all podcasts listened by user B1.
",graph
"Get all films inspired by book C1.
",graph
"Identify mutual memberships between groups D1 and E1.
",graph
"Show all buildings designed by architect F1.
",graph
"Retrieve all legislative bills proposed by senator G1.
",graph
"Find all successors of company H1.
",graph
"Discover all promotion paths for role I1.
",graph
"List all artworks displayed in museum J1.
",graph
"Get all companies acquired by corporation K1.
",graph
"Identify all shared resources in the network.
",graph
"Show all ancestors of individual L1.
",graph
"Find all mountains within range of region M1.
",graph
"Retrieve all blog posts tagged with keyword N1.
",graph
"Who influences both user O1 and P1?
",graph
"List all musical albums produced by producer Q1.
",graph
"Show all intersections on the road R1.
",graph
"Identify all mentors for employee S1.
",graph
"Retrieve all charities supported by celebrity T1.
",graph
"Find the major exports of country U1.
",graph
"List all planets associated with star system V1.
",graph
"Show organizations connected to cause W1.
",graph
"Identify all heirlooms passed down in family X1.
",graph
"Retrieve all code repositories forked by developer Y1.
",graph
"Find all transit lines passing through zone Z1.
",graph
"Discover schools attended by leader A2.
",graph
"List all methods employed in research paper B2.
",graph
"Get all trees planted in park C2.
",graph
"Who are the advisors for startup D2?
",graph
"Retrieve all laws impacting industry E2.
",graph
"Identify links between artist F2 and gallery G2.
",graph
"Show all animal species in habitat H2.
",graph
"List all insurance policies underwritten by company I2.
",graph
"Find the primary contact for project J2.
",graph
"Retrieve all sessions in conference K2.
",graph
"Identify all known passwords in breach L2.
",graph
"Show all citizens with dual nationality M2.
",graph
"Discover all tutor-student pairings in school N2.
",graph
"Retrieve all donations made to fund O2.
",graph
"List all courses offering certification P2.
",graph
"Get all workouts recommended for fitness level Q2.
",graph
"Identify all genres associated with publisher R2.
",graph
"Find the main focus areas of institute S2.
",graph
"Show all celebrities with philanthropic activities T2.
",graph
"Retrieve all awards won by athlete U2.
",graph
"List all intersections on route V2.
",graph
"Identify successors to throne W2.
",graph
"Discover all links between disease X2 and treatment Y2.
",graph
"Show all firms in network Z2.
",graph
"Retrieve all online courses available in database A3.
",graph
"Find all bridges over river B3.
",graph
"List all diplomatic missions between countries C3 and D3.
",graph
"Show all joint ventures in industry E3.
",graph
"Identify all foundation members for organization F3.
",graph
"Get all technology updates in sector G3.
",graph
"Discover all emergency contacts in directory H3.
",graph
"Retrieve all game versions released by studio I3.
",graph
"List all flights departing from airport J3.
",graph
"Identify the governance structure of association K3.
",graph
"Show all licensing agreements for brand L3.
",graph
"Find all abandoned facilities in city M3.
",graph
"Retrieve all linguistic translations for dialect N3.
",graph
"List all ecological initiatives by NGO O3.
",graph
"Discover adoption partners for orphanage P3.
",graph
"Show all financial sponsors for festival Q3.
",graph
"Retrieve all curriculum modules for class R3.
",graph
"Identify all operational nodes in the network S3.
",graph
"List known aliases for historic figure T3.
",graph
"Find all rare artifacts in collection U3.
",graph
"Show all crisis response plans by authority V3.
",graph
"Identify co-inventors on patent application W3.
",graph
"Retrieve all contracts awarded to vendor X3.
",graph
"Find all fusion cuisines in cookbook Y3.
",graph
"List all conservation efforts by zoo Z3.
",graph
"Show all similar cases to lawsuit A4.
",graph
"Identify all convoy routes for fleet B4.
",graph
"Retrieve governmental amendments on policy C4.
",graph
"List all core subjects in degree program D4.
",graph
"Find all dynamic groups in organization E4.
",graph
"Show all nuances in legal interpretations of act F4.
",graph
"Identify renewable resources in region G4.
",graph
"List key influencers in marketing campaign H4.
",graph
"Retrieve all loan services by bank I4.
",graph
"Discover all sequel games by developer J4.
",graph
"Find historical funding patterns for agency K4.
",graph
"Show community feedback for service L4.
",graph
"Retrieve unique identifiers in DNA sequence M4.
",graph
"List assembly processes in manufacturing plant N4.
",graph
"Identify unanimous decisions in council O4.
",graph
"Get all cross-cultural exchanges in program P4.
",graph
"Find ethics compliance records for board Q4.
",graph
"Show commonly shared tools in workspace R4.
",graph
"Retrieve all urban development plans for district S4.
",graph
"Find all authors who have written more than three books.
",graph
"List all cities connected by flights within two hops.
",graph
"Retrieve the names of employees who report directly to the CEO.
",graph
"Find all people with a direct connection to the project manager.
",graph
"List all friends of friends who live in New York.
",graph
"Identify all movies directed by someone who has also acted.
",graph
"Find top ten influential nodes in the social network.
",graph
"Retrieve all products purchased by customers aged between 20 and 30.
",graph
"List all managers who have more than three direct reports.
",graph
"Find all participants who attended more than two events.
",graph
"Retrieve all artists who have collaborated with a specific artist.
",graph
"List all countries that share a border.
",graph
"Find all articles cited by a particular research paper.
",graph
"Retrieve the shortest path between two users in a social network.
",graph
"List all authors who have collaborated with a Nobel Laureate.
",graph
"Find all software engineers working in the same project.
",graph
"Retrieve all families with at least two members in the same organization.
",graph
"Find all musicians who have released albums between 1990 and 2000.
",graph
"List all employees in the same location as the headquarters.
",graph
"Find all universities attended by a particular set of students.
",graph
"Retrieve all restaurants located within two blocks of a museum.
",graph
"List all technology partners of the company.
",graph
"Find all relationships of a specific type in the graph.
",graph
"Retrieve all transactions between customers and vendors.
",graph
"List all investors who have invested in more than five startups.
",graph
"Find all courses taken by students who major in computer science.
",graph
"Retrieve all flights with a layover of less than two hours.
",graph
"List all books co-authored by the same set of people.
",graph
"Find all colleagues who have worked more than five years together.
",graph
"Retrieve all nodes connected to a specific central node.
",graph
"List all hackerspaces in cities with a population over a million.
",graph
"Find all conferences attended by a specific academic.
",graph
"Retrieve all competitors of the company in the past five years.
",graph
"List all athletes who have won medals in multiple Olympics.
",graph
"Find all actors who have starred in more than ten films.
",graph
"Retrieve all operating systems compatible with given software.
",graph
"List all firms that have been acquired by the parent company.
",graph
"Find DJs who have played at least one international festival.
",graph
"Retrieve all patents citing a specific inventor.
",graph
"List all transportation routes connecting two specific locations.
",graph
"Find people who have connections in both New York and London.
",graph
"Retrieve all journalists contributing to the same newspaper.
",graph
"List all partnership agreements formed in the past year.
",graph
"Find all books translated into more than five languages.
",graph
"Retrieve all predecessors of a particular node in the hierarchy.
",graph
"List all workshops organized by the educational institution.
",graph
"Find podcasts with guests from multiple countries.
",graph
"Retrieve ecological networks of plant and animal species.
",graph
"List all historical events involving multiple countries.
",graph
"Find all doctors with specialization in cardiology.
",graph
"Retrieve all collaborative projects by two particular universities.
",graph
"List all mutual friends of two specific people.
",graph
"Find all software versions compatible with multiple platforms.
",graph
"Retrieve all matches between specific sports teams.
",graph
"List all tenants in buildings managed by the same company.
",graph
"Find all papers with shared references.
",graph
"Retrieve all technicians certified in a specific technology.
",graph
"List all categories connected to a particular blog post.
",graph
"Find all gym members who train together regularly.
",graph
"Retrieve all meetings involving the company’s executives.
",graph
"List all places within a five-mile radius of a given point.
",graph
"Find all trains operating on the same network.
",graph
"Retrieve all related podcasts by topic.
",graph
"List all parks linked by walking trails.
",graph
"Find all schools with exchange programs.
",graph
"Retrieve all service centers authorized by the manufacturer.
",graph
"List all musicians with more than three Grammy awards.
",graph
"Find all theaters showing the same movie.
",graph
"Retrieve all supply chains involving a particular material.
",graph
"List all employees with two or more skills certifications.
",graph
"Find all departments collaborating on the same project.
",graph
"Retrieve all partners who contributed to a joint venture.
",graph
"List all books in the public domain.
",graph
"Find all NGOs working in environmental conservation.
",graph
"Retrieve all translations of a specific document.
",graph
"List all professional networks connected to a given industry.
",graph
"Find all animals in a multi-species conservation effort.
",graph
"Retrieve all surviving members of historical dynasties.
",graph
"List all software products by a developer group.
",graph
"Find all residential areas connected by public transport.
",graph
"Retrieve all products using renewable materials.
",graph
"List all historical landmarks on a specific map route.
",graph
"Find all species linked through ecological interactions.
",graph
"Retrieve all alumni of a university with distinguished careers.
",graph
"List all projects funded by a particular grant.
",graph
"Find all startups in the technology innovation sector.
",graph
"Retrieve all banks involved in the same syndicate loan.
",graph
